For Query: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  R  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  R  	  0.188  	  0.600
17  	  R  	  0.235  	  0.800
18  	  R  	  0.278  	  1.000
19  	  R  	  0.316  	  1.200
20  	  N  	  0.300  	  1.200
21  	  N  	  0.286  	  1.200
22  	  N  	  0.273  	  1.200
23  	  R  	  0.304  	  1.400
24  	  N  	  0.292  	  1.400
25  	  N  	  0.280  	  1.400
26  	  N  	  0.269  	  1.400
27  	  N  	  0.259  	  1.400
28  	  N  	  0.250  	  1.400
29  	  N  	  0.241  	  1.400
30  	  N  	  0.233  	  1.400
31  	  N  	  0.226  	  1.400
32  	  N  	  0.219  	  1.400
33  	  N  	  0.212  	  1.400
34  	  N  	  0.206  	  1.400
35  	  N  	  0.200  	  1.400
36  	  R  	  0.222  	  1.600
37  	  N  	  0.216  	  1.600
38  	  N  	  0.211  	  1.600
39  	  N  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  N  	  0.160  	  1.600
51  	  N  	  0.157  	  1.600
52  	  N  	  0.154  	  1.600
53  	  N  	  0.151  	  1.600
54  	  R  	  0.167  	  1.800
55  	  N  	  0.164  	  1.800
56  	  N  	  0.161  	  1.800
57  	  N  	  0.158  	  1.800
58  	  N  	  0.155  	  1.800
59  	  N  	  0.153  	  1.800
60  	  N  	  0.150  	  1.800
61  	  N  	  0.148  	  1.800
62  	  N  	  0.145  	  1.800
63  	  N  	  0.143  	  1.800
64  	  N  	  0.141  	  1.800
65  	  N  	  0.138  	  1.800
66  	  N  	  0.136  	  1.800
67  	  N  	  0.134  	  1.800
68  	  N  	  0.132  	  1.800
69  	  N  	  0.130  	  1.800
70  	  N  	  0.129  	  1.800
71  	  N  	  0.127  	  1.800
72  	  R  	  0.139  	  2.000
73  	  N  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  N  	  0.122  	  2.000
83  	  N  	  0.120  	  2.000
84  	  N  	  0.119  	  2.000
85  	  N  	  0.118  	  2.000
86  	  N  	  0.116  	  2.000
87  	  N  	  0.115  	  2.000
88  	  N  	  0.114  	  2.000
89  	  N  	  0.112  	  2.000
90  	  N  	  0.111  	  2.000
91  	  N  	  0.110  	  2.000
92  	  N  	  0.109  	  2.000
93  	  N  	  0.108  	  2.000
94  	  N  	  0.106  	  2.000
95  	  N  	  0.105  	  2.000
96  	  N  	  0.104  	  2.000
97  	  N  	  0.103  	  2.000
98  	  N  	  0.102  	  2.000
99  	  N  	  0.101  	  2.000
100  	  N  	  0.100  	  2.000
