For Query: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  R  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  N  	  0.080  	  0.400
26  	  N  	  0.077  	  0.400
27  	  N  	  0.074  	  0.400
28  	  N  	  0.071  	  0.400
29  	  N  	  0.069  	  0.400
30  	  N  	  0.067  	  0.400
31  	  N  	  0.065  	  0.400
32  	  N  	  0.062  	  0.400
33  	  N  	  0.061  	  0.400
34  	  N  	  0.059  	  0.400
35  	  N  	  0.057  	  0.400
36  	  N  	  0.056  	  0.400
37  	  N  	  0.054  	  0.400
38  	  N  	  0.053  	  0.400
39  	  N  	  0.051  	  0.400
40  	  N  	  0.050  	  0.400
41  	  N  	  0.049  	  0.400
42  	  N  	  0.048  	  0.400
43  	  N  	  0.047  	  0.400
44  	  N  	  0.045  	  0.400
45  	  N  	  0.044  	  0.400
46  	  N  	  0.043  	  0.400
47  	  N  	  0.043  	  0.400
48  	  N  	  0.042  	  0.400
49  	  N  	  0.041  	  0.400
50  	  N  	  0.040  	  0.400
51  	  N  	  0.039  	  0.400
52  	  N  	  0.038  	  0.400
53  	  N  	  0.038  	  0.400
54  	  N  	  0.037  	  0.400
55  	  N  	  0.036  	  0.400
56  	  N  	  0.036  	  0.400
57  	  N  	  0.035  	  0.400
58  	  N  	  0.034  	  0.400
59  	  N  	  0.034  	  0.400
60  	  N  	  0.033  	  0.400
61  	  N  	  0.033  	  0.400
62  	  N  	  0.032  	  0.400
63  	  N  	  0.032  	  0.400
64  	  N  	  0.031  	  0.400
65  	  N  	  0.031  	  0.400
66  	  N  	  0.030  	  0.400
67  	  N  	  0.030  	  0.400
68  	  N  	  0.029  	  0.400
69  	  N  	  0.029  	  0.400
70  	  N  	  0.029  	  0.400
71  	  N  	  0.028  	  0.400
72  	  N  	  0.028  	  0.400
73  	  N  	  0.027  	  0.400
74  	  N  	  0.027  	  0.400
75  	  N  	  0.027  	  0.400
76  	  N  	  0.026  	  0.400
77  	  R  	  0.039  	  0.600
78  	  N  	  0.038  	  0.600
79  	  N  	  0.038  	  0.600
80  	  N  	  0.037  	  0.600
81  	  N  	  0.037  	  0.600
82  	  N  	  0.037  	  0.600
83  	  N  	  0.036  	  0.600
84  	  N  	  0.036  	  0.600
85  	  N  	  0.035  	  0.600
86  	  N  	  0.035  	  0.600
87  	  N  	  0.034  	  0.600
88  	  N  	  0.034  	  0.600
89  	  N  	  0.034  	  0.600
90  	  N  	  0.033  	  0.600
91  	  N  	  0.033  	  0.600
92  	  N  	  0.033  	  0.600
93  	  N  	  0.032  	  0.600
94  	  N  	  0.032  	  0.600
95  	  N  	  0.032  	  0.600
96  	  N  	  0.031  	  0.600
97  	  N  	  0.031  	  0.600
98  	  N  	  0.031  	  0.600
99  	  N  	  0.030  	  0.600
100  	  N  	  0.030  	  0.600
