For Query: addressing schemes resources networks resource addressing network operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  R  	  0.025  	  0.200
41  	  N  	  0.024  	  0.200
42  	  N  	  0.024  	  0.200
43  	  N  	  0.023  	  0.200
44  	  N  	  0.023  	  0.200
45  	  N  	  0.022  	  0.200
46  	  N  	  0.022  	  0.200
47  	  N  	  0.021  	  0.200
48  	  N  	  0.021  	  0.200
49  	  N  	  0.020  	  0.200
50  	  N  	  0.020  	  0.200
51  	  N  	  0.020  	  0.200
52  	  N  	  0.019  	  0.200
53  	  N  	  0.019  	  0.200
54  	  N  	  0.019  	  0.200
55  	  N  	  0.018  	  0.200
56  	  N  	  0.018  	  0.200
57  	  N  	  0.018  	  0.200
58  	  N  	  0.017  	  0.200
59  	  N  	  0.017  	  0.200
60  	  N  	  0.017  	  0.200
61  	  N  	  0.016  	  0.200
62  	  N  	  0.016  	  0.200
63  	  N  	  0.016  	  0.200
64  	  N  	  0.016  	  0.200
65  	  N  	  0.015  	  0.200
66  	  N  	  0.015  	  0.200
67  	  N  	  0.015  	  0.200
68  	  N  	  0.015  	  0.200
69  	  N  	  0.014  	  0.200
70  	  N  	  0.014  	  0.200
71  	  N  	  0.014  	  0.200
72  	  N  	  0.014  	  0.200
73  	  N  	  0.014  	  0.200
74  	  N  	  0.014  	  0.200
75  	  N  	  0.013  	  0.200
76  	  N  	  0.013  	  0.200
77  	  N  	  0.013  	  0.200
78  	  N  	  0.013  	  0.200
79  	  N  	  0.013  	  0.200
80  	  N  	  0.013  	  0.200
81  	  N  	  0.012  	  0.200
82  	  N  	  0.012  	  0.200
83  	  N  	  0.012  	  0.200
84  	  N  	  0.012  	  0.200
85  	  N  	  0.012  	  0.200
86  	  N  	  0.012  	  0.200
87  	  N  	  0.011  	  0.200
88  	  N  	  0.011  	  0.200
89  	  N  	  0.011  	  0.200
90  	  N  	  0.011  	  0.200
91  	  N  	  0.011  	  0.200
92  	  N  	  0.011  	  0.200
93  	  N  	  0.011  	  0.200
94  	  N  	  0.011  	  0.200
95  	  N  	  0.011  	  0.200
