For Query: optimization of intermediate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  R  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  R  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  N  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  N  	  0.167  	  0.600
19  	  N  	  0.158  	  0.600
20  	  N  	  0.150  	  0.600
21  	  N  	  0.143  	  0.600
22  	  N  	  0.136  	  0.600
23  	  N  	  0.130  	  0.600
24  	  N  	  0.125  	  0.600
25  	  N  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  N  	  0.107  	  0.600
29  	  N  	  0.103  	  0.600
30  	  N  	  0.100  	  0.600
31  	  N  	  0.097  	  0.600
32  	  N  	  0.094  	  0.600
33  	  N  	  0.091  	  0.600
34  	  N  	  0.088  	  0.600
35  	  N  	  0.086  	  0.600
36  	  N  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  N  	  0.071  	  0.600
43  	  N  	  0.070  	  0.600
44  	  N  	  0.068  	  0.600
45  	  N  	  0.067  	  0.600
46  	  N  	  0.065  	  0.600
47  	  N  	  0.064  	  0.600
48  	  N  	  0.062  	  0.600
49  	  N  	  0.061  	  0.600
50  	  N  	  0.060  	  0.600
51  	  N  	  0.059  	  0.600
52  	  N  	  0.058  	  0.600
53  	  N  	  0.057  	  0.600
54  	  N  	  0.056  	  0.600
55  	  N  	  0.055  	  0.600
56  	  N  	  0.054  	  0.600
57  	  N  	  0.053  	  0.600
58  	  N  	  0.052  	  0.600
59  	  N  	  0.051  	  0.600
60  	  N  	  0.050  	  0.600
61  	  N  	  0.049  	  0.600
62  	  N  	  0.048  	  0.600
63  	  N  	  0.048  	  0.600
64  	  N  	  0.047  	  0.600
65  	  N  	  0.046  	  0.600
66  	  N  	  0.045  	  0.600
67  	  N  	  0.045  	  0.600
68  	  N  	  0.044  	  0.600
69  	  N  	  0.043  	  0.600
70  	  N  	  0.043  	  0.600
71  	  N  	  0.042  	  0.600
72  	  N  	  0.042  	  0.600
73  	  N  	  0.041  	  0.600
74  	  N  	  0.041  	  0.600
75  	  N  	  0.040  	  0.600
76  	  N  	  0.039  	  0.600
77  	  N  	  0.039  	  0.600
78  	  N  	  0.038  	  0.600
79  	  N  	  0.038  	  0.600
80  	  N  	  0.037  	  0.600
81  	  N  	  0.037  	  0.600
82  	  N  	  0.037  	  0.600
83  	  N  	  0.036  	  0.600
84  	  N  	  0.036  	  0.600
85  	  N  	  0.035  	  0.600
86  	  N  	  0.035  	  0.600
87  	  N  	  0.034  	  0.600
88  	  N  	  0.034  	  0.600
89  	  N  	  0.034  	  0.600
90  	  N  	  0.033  	  0.600
91  	  N  	  0.033  	  0.600
92  	  N  	  0.033  	  0.600
93  	  N  	  0.032  	  0.600
94  	  N  	  0.032  	  0.600
95  	  N  	  0.032  	  0.600
96  	  N  	  0.031  	  0.600
97  	  N  	  0.031  	  0.600
98  	  N  	  0.031  	  0.600
99  	  N  	  0.030  	  0.600
100  	  N  	  0.030  	  0.600
