For Query: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  N  	  0.833  	  1.000
07  	  R  	  0.857  	  1.200
08  	  N  	  0.750  	  1.200
09  	  R  	  0.778  	  1.400
10  	  N  	  0.700  	  1.400
11  	  N  	  0.636  	  1.400
12  	  R  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  N  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  R  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  N  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  N  	  0.300  	  1.800
31  	  N  	  0.290  	  1.800
32  	  N  	  0.281  	  1.800
33  	  N  	  0.273  	  1.800
34  	  N  	  0.265  	  1.800
35  	  N  	  0.257  	  1.800
36  	  N  	  0.250  	  1.800
37  	  N  	  0.243  	  1.800
38  	  N  	  0.237  	  1.800
39  	  N  	  0.231  	  1.800
40  	  N  	  0.225  	  1.800
41  	  R  	  0.244  	  2.000
42  	  N  	  0.238  	  2.000
43  	  N  	  0.233  	  2.000
44  	  N  	  0.227  	  2.000
45  	  N  	  0.222  	  2.000
46  	  N  	  0.217  	  2.000
47  	  N  	  0.213  	  2.000
48  	  N  	  0.208  	  2.000
49  	  N  	  0.204  	  2.000
50  	  N  	  0.200  	  2.000
51  	  N  	  0.196  	  2.000
52  	  N  	  0.192  	  2.000
53  	  N  	  0.189  	  2.000
54  	  N  	  0.185  	  2.000
55  	  N  	  0.182  	  2.000
56  	  N  	  0.179  	  2.000
57  	  N  	  0.175  	  2.000
58  	  N  	  0.172  	  2.000
59  	  N  	  0.169  	  2.000
60  	  N  	  0.167  	  2.000
61  	  N  	  0.164  	  2.000
62  	  N  	  0.161  	  2.000
63  	  N  	  0.159  	  2.000
64  	  N  	  0.156  	  2.000
65  	  N  	  0.154  	  2.000
66  	  N  	  0.152  	  2.000
67  	  N  	  0.149  	  2.000
68  	  N  	  0.147  	  2.000
69  	  N  	  0.145  	  2.000
70  	  N  	  0.143  	  2.000
71  	  N  	  0.141  	  2.000
72  	  N  	  0.139  	  2.000
73  	  N  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  R  	  0.134  	  2.200
83  	  N  	  0.133  	  2.200
84  	  N  	  0.131  	  2.200
85  	  N  	  0.129  	  2.200
86  	  N  	  0.128  	  2.200
87  	  N  	  0.126  	  2.200
88  	  N  	  0.125  	  2.200
89  	  N  	  0.124  	  2.200
90  	  N  	  0.122  	  2.200
91  	  N  	  0.121  	  2.200
92  	  N  	  0.120  	  2.200
93  	  N  	  0.118  	  2.200
94  	  N  	  0.117  	  2.200
95  	  N  	  0.116  	  2.200
96  	  N  	  0.115  	  2.200
97  	  N  	  0.113  	  2.200
98  	  N  	  0.112  	  2.200
99  	  N  	  0.111  	  2.200
100  	  N  	  0.110  	  2.200
