For Query: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  N  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  R  	  0.769  	  2.000
14  	  R  	  0.786  	  2.200
15  	  R  	  0.800  	  2.400
16  	  N  	  0.750  	  2.400
17  	  R  	  0.765  	  2.600
18  	  N  	  0.722  	  2.600
19  	  N  	  0.684  	  2.600
20  	  N  	  0.650  	  2.600
21  	  N  	  0.619  	  2.600
22  	  N  	  0.591  	  2.600
23  	  N  	  0.565  	  2.600
24  	  N  	  0.542  	  2.600
25  	  N  	  0.520  	  2.600
26  	  N  	  0.500  	  2.600
27  	  N  	  0.481  	  2.600
28  	  N  	  0.464  	  2.600
29  	  N  	  0.448  	  2.600
30  	  N  	  0.433  	  2.600
31  	  N  	  0.419  	  2.600
32  	  N  	  0.406  	  2.600
33  	  N  	  0.394  	  2.600
34  	  N  	  0.382  	  2.600
35  	  N  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  N  	  0.310  	  2.600
43  	  N  	  0.302  	  2.600
44  	  N  	  0.295  	  2.600
45  	  R  	  0.311  	  2.800
46  	  N  	  0.304  	  2.800
47  	  N  	  0.298  	  2.800
48  	  N  	  0.292  	  2.800
49  	  N  	  0.286  	  2.800
50  	  N  	  0.280  	  2.800
51  	  N  	  0.275  	  2.800
52  	  N  	  0.269  	  2.800
53  	  N  	  0.264  	  2.800
54  	  N  	  0.259  	  2.800
55  	  N  	  0.255  	  2.800
56  	  N  	  0.250  	  2.800
57  	  N  	  0.246  	  2.800
58  	  N  	  0.241  	  2.800
59  	  N  	  0.237  	  2.800
60  	  N  	  0.233  	  2.800
61  	  N  	  0.230  	  2.800
62  	  N  	  0.226  	  2.800
63  	  N  	  0.222  	  2.800
64  	  N  	  0.219  	  2.800
65  	  N  	  0.215  	  2.800
66  	  N  	  0.212  	  2.800
67  	  N  	  0.209  	  2.800
68  	  N  	  0.206  	  2.800
69  	  N  	  0.203  	  2.800
70  	  N  	  0.200  	  2.800
71  	  N  	  0.197  	  2.800
72  	  N  	  0.194  	  2.800
73  	  N  	  0.192  	  2.800
74  	  N  	  0.189  	  2.800
75  	  N  	  0.187  	  2.800
76  	  N  	  0.184  	  2.800
77  	  N  	  0.182  	  2.800
78  	  N  	  0.179  	  2.800
79  	  N  	  0.177  	  2.800
80  	  N  	  0.175  	  2.800
81  	  N  	  0.173  	  2.800
82  	  N  	  0.171  	  2.800
83  	  N  	  0.169  	  2.800
84  	  N  	  0.167  	  2.800
85  	  N  	  0.165  	  2.800
86  	  N  	  0.163  	  2.800
87  	  N  	  0.161  	  2.800
88  	  N  	  0.159  	  2.800
89  	  N  	  0.157  	  2.800
90  	  N  	  0.156  	  2.800
91  	  N  	  0.154  	  2.800
92  	  N  	  0.152  	  2.800
93  	  N  	  0.151  	  2.800
94  	  N  	  0.149  	  2.800
95  	  N  	  0.147  	  2.800
96  	  N  	  0.146  	  2.800
97  	  N  	  0.144  	  2.800
98  	  N  	  0.143  	  2.800
99  	  N  	  0.141  	  2.800
100  	  N  	  0.140  	  2.800
